data_type,count
subscription record,1
time send,1
click history,1
health insurance information,1
distribution list,1
tendency,1
visual datum,1
web apps,1
activity in services,1
educateme inc.,1
input,1
output,1
payment instrument number,1
datum it collect,1
datum on,1
general geographic region,1
industry standard method for datum encryption,1
message submit to we through email,1
choice available regard right in relation to personal information,1
datum we collect about use of website,1
personal information provide in context of application,1
unsolicited information,1
state identification card number,1
home business address,1
security information,1
identify information,1
inference draw from mention personal information,1
information about page you view,1
last digit of credit card,1
list identify,1
main contact person,1
medical information,1
personal information of client,1
personal information relate to client,1
personal information relate to you,1
personal information you include in email text message,1
personally non - identifiable information,1
purchasing history,1
salary information,1
search,1
email header,1
datum about request for customer information,1
customer content you submit to we for service,1
explore by cialfo platform,1
information about customers,1
personal information belong to customer,1
area on website you post review relate to activity on website,1
cover photo,1
friend network,1
greminders,1
greminders software as service,1
history of change information,1
hyperlink on website redirect you to social network,1
information we obtain from current activity on website,1
kaiser ridge inc.,1
media form,1
option connect account on website to account on social networking site,1
related information you provide to we,1
calendar datum for meeting scheduling tracking,1
feedback customer provide to we through service,1
written confirmation you give authorized agent permission submit request,1
email attachment,1
information we collect through service,1
information you provide in message to we,1
datum collect about interaction with website,1
datum regard interaction with website,1
file store in google drive service,1
information in audits service,1
information third party service make,1
label,1
payment info,1
copy of datum,1
copy of email document,1
email tracking,1
email we analyse as part of,1
least amount of information scope,1
datum perform task on behalf of company,1
relevant data,1
conversation information for sale opportunity tracking,1
email datum,1
category of information list in log,1
said datum,1
correspondence with we,1
information collect via automate mean,1
personal information as account information,1
personal information process about you,1
personal information relevant,1
ram,1
different messenger,1
divide group access,1
feedback submission date,1
cv resume,1
educational information,1
personal information collect on platform,1
yin yang inc.,1
account information you provide to hubspot,1
billing contact for hubspot account,1
activity on page,1
prospect,1
email thread,1
professional interest,1
enterprise grade encryption,1
google drive document for meeting note,1
google user datum,1
process analytic datum,1
result insight,1
strict access control,1
aggregate client personal datum,1
aggregate personal datum of professional,1
personal datum professional need,1
complaint,1
educational background,1
information about you provide,1
information collect use technological mean,1
institutional affiliation,1
login information use,1
appropriate information,1
aid,1
transcript of chat interaction with we share,1
ecamm network,1
passive data collection,1
preference information,1
technical connection detail,1
url information,1
access token allow,1
date of schedule live stream,1
diagnostic datum relate to accessing of platform datum,1
facebook group name,1
accounting record,1
facebook platform datum consistent,1
information access,1
list of schedule live broadcast,1
permalink,1
post description,1
viewer reaction,1
contract company,1
minimal amount,1
datum you enter,1
available information on third party,1
anonymized demographic datum from visitor,1
relate information share,1
verifone payments b.v.,1
advertisement page view,1
information obtain,1
log not include personally identifiable information,1
usage environment,1
broad category,1
information pertain to you,1
personal data in structured use machine readable format,1
tracking technology,1
data modification,1
information about previous visit to customer sites,1
information about use of customer sites by user,1
information on instruction,1
information we collect from user,1
evidence,1
information send via email,1
information you search for on website,1
electronic communication between you,1
information on kaltura platform,1
information you request through website,1
personal information about potential business customer,1
statistical reporting,1
traffic information,1
traffic information need,1
tweet button,1
url use,1
user login credential,1
video content,1
customer support query,1
item description,1
member of technical team,1
payment agent detail,1
personal information regard visitor of site,1
facebook like button,1
aggregate user information,1
joint venture partner,1
affiliation,1
submit personal information,1
telecost.com website,1
other data,1
belief,1
coupon,1
generate data,1
personal datum about event attendee,1
personal datum about office visitor,1
rapidops,1
recipient of marketing communication,1
information describe in section call,1
nice ltd.,1
social login datum,1
zcal inc.,1
account relevant information,1
name of device,1
marketing service provider,1
information from delete account,1
mobile device information,1
personal information collect from vendor,1
provide personal information,1
type of,1
uniquely identifiable mobile device information,1
booking datum for lifetime of account,1
industry standard metric,1
information from company,1
personal datum we hold about you,1
personal datum we receive,1
proper identification of commercial nature,1
security provider,1
staff augmentation personnel,1
type of personal datum,1
work opt link,1
personal datum collect via website,1
office space,1
information provide from customer,1
authentication information provide to we,1
credit card financial information,1
write correspondence,1
datum fight fraud as refund abuse,1
datum for analytic purpose,1
datum from platform vimcal run on,1
datum to,1
device include operating system language,1
activity on services,1
communication send,1
data user provide company with via service,1
datum on behavior,1
information about use of service,1
information company collect,1
name address,1
web datum,1
web page visit,1
nice web property link to privacy notice,1
computer software downloadable,1
hardware statistic,1
personal information vanta collect over last month,1
user conference,1
vanta website,1
vanta.com,1
website visitor information,1
anonymous datum,1
personal information business sell about consumer,1
personal information we handle under privacy shield,1
privacy request form,1
client id,1
id information identify terminal,1
information designate about individual acquire,1
information on operation history within service,1
name of individual acquire,1
cloud application provider,1
device identification,1
service data,1
other information,1
conversation datum,1
information constitute personal datum,1
end user data necessary,1
information they make,1
link to third party website,1
method,1
type of datum,1
domain from provide form input,1
key tie to face video datum,1
small text file website store s on computer,1
status of face video datum collect,1
usage information about you include webpage you visit what you click on,1
aggregate service datum,1
applicable mobile application,1
application id,1
business address submit,1
datum about organization,1
transactional detail,1
web analytic datum,1
computer name,1
information on learning training activity within learning management system,1
personal data strip of identify characteristic,1
response to sponsor web site survey,1
training information,1
affiliate company,1
call recording,1
correspondence,1
datum service,1
email,1
information about right,1
personal datum contain in it,1
personal datum provide to we,1
session service,1
specific information about,1
speech to text service,1
website,1
personal data request,1
company seek,1
customer service software provider,1
browsing information,1
basic personal datum you provide through,1
information about visit to sites,1
jonas,1
record of personal datum contain in communication,1
related website,1
social media sharing,1
unique identifier send to computer from sites,1
amount of personal datum,1
contact make,1
cv,1
necessary detail of interaction on system,1
number of solution process in capacity as independent controller,1
personal datum collect via method,1
video footage,1
archive copy of record,1
crm software provider,1
d. internet,1
survey result,1
information about visit to website,1
internet connection,1
log file information report from browser,1
personal description,1
platform user identification number,1
public sms profile,1
relationship interest,1
sensitive credit information you supply,1
statistic about usage level of website,1
third party identifier,1
tumblr,1
url of most recent website you visit before,1
xing,1
Spotify,1
Vimeo,1
account statement,1
information post to public area of service,1
gif,1
detail of action you carry through website,1
equipment,1
driving license,1
information hold about you,1
logging service provider,1
passport,1
personal data of job applicant,1
recent utility bill,1
record of correspondence,1
security consultant,1
Pinterest,1
amount of time you spend on website,1
clickstream pattern,1
copy of unrevised information,1
de - identified personal information datum,1
detail of visit to website,1
education history,1
The Interpublic Group of Companies,1
relevant health information,1
ctcsp corporation,1
javascript pixel,1
number of page view,1
number of visitor,1
related service provide,1
survey provider,1
traffic news,1
information about use of website on current device,1
customer proprietary network information,1
employment datum,1
mobile os,1
personal information provide in valid request,1
user behavior,1
account user data,1
artificial intelligence,1
container tag,1
contract service,1
local weather report,1
information not list,1
enablement,1
information about non - user,1
customer information,1
individual identification information,1
name of administrator to customer,1
name of business partner,1
os,1
personal information about customer,1
partner provide service to you as member,1
system maintenance,1
content of email you send,1
customer service provider,1
database customer relationship management service,1
encrypt google authentication token,1
hosting debug service,1
image pixel,1
information about email you send,1
contractual detail,1
express need,1
login date,1
information we collect from proofpoint user,1
message report as spam,1
personal information it collect from you we have ongoing legitimate business need do,1
personal network information,1
social medium account login credential,1
address of web page visit,1
cctv footage,1
feedback improve future event,1
food allergy,1
identification information,1
information as you use application,1
information describe in section,1
information in connection with job application,1
information in connection with use of service platform by individual user,1
information we collect from you in connection with purchase,1
information we process on behalf of customer,1
message content,1
information about mailbox size,1
generative artificial intelligence,1
data we collect through manual method,1
infer datum on generate from use of services,1
log credential to services,1
personal datum relate to person identify as result of use with business application,1
technical datum collect,1
torii labs ltd.,1
current address,1
personal datum contain in content upload,1
authentication token we obtain from third party service,1
infirmation,1
c. information,1
c. information we receive from third party,1
call note,1
personal information contain in content of call,1
zoom url,1
customize information about,1
marketing prospect,1
job recruiter,1
everlaw website,1
preference on browser,1
content of draft email message,1
information relate to individual booking,1
email subject line,1
information about interaction with website associate with browser,1
information in anonymous form,1
open tracking,1
information contain in booking form,1
third party wallet detail,1
information about free time,1
for name,1
data be,1
correspondence information,1
contact address,1
booking information,1
number of third party service to we transfer personal datum in provision of service,1
company domain directory,1
calendar content,1
payment history with account holder,1
technical datum about equipment,1
payment information information relate to payment transaction collect,1
technical information detail of visit to site,1
detail of product you purchase from we,1
action you take,1
web hosting provider,1
variety of industry standard security technology,1
transaction non - pci payment datum,1
time spend on page of site,1
search preference,1
privacy,1
personal information relate to recruitment job application,1
order detail,1
booking form information information provide to account holder,1
subscriber detail,1
derivative of datum,1
information concern past behavior with services,1
adequate level of protection,1
aggregate insight not identify you,1
card expiration date,1
collective learning about,1
cvv code,1
feedback provide to we,1
information from third party who provide link service,1
applicable information in connection,1
information we collect from,1
information we collect under privacy policy,1
number of referral,1
option within service,1
personal datum include in content,1
personal datum we have,1
yourguru inc.,1
yourguru,1
useful identify information,1
unique username you like,1
time email message,1
software use,1
public database,1
response submit,1
note take through services,1
information you include in note,1
information collect from,1
email you send,1
email communication to subscriber,1
datum about wireless device usage,1
contact list of device,1
authorized link,1
associated account information,1
meeting datum,1
credit registration,1
supplier,1
staircase,1
banner ad,1
email metric,1
technical assistance,1
number of email open,1
session log,1
ssl encryption,1
access date,1
personal information collect via service,1
account setting,1
api call,1
authentication information,1
backup information,1
bank routing information,1
bank statement,1
Sixth Division,1
work calendar information,1
task,1
reclaim,1
personal data we share,1
necessary google calendar data,1
metadata specific,1
datum concern health,1
habit,1
event title,1
event detail,1
email of invitee on event,1
datum concern sex life,1
calendar metadata,1
genetic datum,1
app datum,1
app data,1
claim information,1
content download,1
credit limit,1
information integrated service make,1
social profile,1
tax document,1
tin,1
vendor information,1
communication with individual through from written mean as email,1
credit card billing information,1
device characteristic,1
contract with,1
justcall,1
personal data collect from user,1
personal datum we store,1
small amount of information about profile,1
web site at https://justcall.io,1
click id,1
setting preference,1
related software,1
people center,1
hardware setting,1
issue identification document comply with global aml obligation,1
issue identification document,1
personal datum we hold,1
insurance policy information,1
insurance benefit information,1
insurance benefit,1
information relate to transaction,1
information relate to access to to relevant customer,1
information contain in invoice you issue to,1
information contain in invoice you issue,1
information about internet service provider,1
inference about interest,1
diagnostic report,1
personal datum you choose,1
prezi ai,1
prezi inc.,1
information we gather about you,1
corresponding earning,1
analytic statistic,1
asset view,1
datum by identify,1
information about medical history,1
information design,1
intakeq,1
information on marital status,1
prescription information,1
scheduling information,1
actual address,1
citizenship,1
detail of document on education,1
family member,1
sufficient information verify identity,1
datum collect regard use of service,1
personal information contain in content of meeting,1
meeting transcript,1
meeting recording,1
meeting note,1
meeting join url,1
meeting information on google calendar,1
meeting content information,1
meeting audio,1
meeting,1
design setting,1
attendee identifier,1
advertise position,1
vista consulting group,1
specific category,1
resale partner,1
information on bonus,1
minimum information,1
private information,1
personal information of customer employee,1
api key login credential,1
GitHub,1
associate metadata,1
employee record,1
account registration,1
metadata about work perform in tool,1
personal information provide in application,1
mobile operate system,1
relate information attributable,1
work information,1
retain personal datum,1
user interest,1
business,1
business decision making,1
range of technical control,1
personal property,1
datum you provide to we on frontend,1
copy of prior version,1
type of operating system you use,1
statistic about end users user habit,1
message you send,1
information you transmit information through channel,1
information on term set in privacy policy,1
information in personal profile,1
amazon,1
authorization,1
contact list,1
youtube video identifier of video you upload through service,1
several different type of information,1
copy of customer data,1
place of birth,1
personal information we need,1
mobile app,1
information you agree,1
personal information in profile,1
information receive from youtube api,1
aggregator,1
data broker,1
game performance,1
high score,1
own instruction,1
personal information we receive from you,1
information for californian consumer,1
publicly available personal information,1
publicly available personal information post on social medium platform,1
tracking methodology discuss,1
activity relate to third party integration,1
information about you you login,1
client version,1
unique identifier we store on computer,1
type of personal information,1
track pixel,1
know customer kyc document,1
personal information in personally identifiable form,1
medium form,1
item,1
information you consent,1
local weather,1
copy of unrevised information in record,1
Treasure Data,1
Cloudflare,1
login credential for third party application you authenticate,1
session information,1
service usage information,1
service usage,1
referrer header,1
information about purchase intent,1
information about profile on platform,1
home work mobile,1
non - identifying information,1
information about use of,1
evidence of identity,1
basic information about customer,1
information you upload to service,1
information we receive from third party,1
information we collect from services,1
information in connection with service,1
information assist we in,1
engagement metric,1
feature involve youtube api service,1
form field,1
image depict likeness you provide to setmore,1
copy of information,1
residual information,1
execvision inc.,1
information about device you utilize,1
information about issue,1
visual information,1
training datum associate with ai speakers,1
product purchase,1
personal information between,1
handle,1
detail about subscription,1
cache copy of information about you,1
trend in aggregate,1
subscriber company name,1
quantity,1
personal information third party service make,1
information about product,1
network connectivity,1
time save after,1
statistical datum involve use of clickup service,1
everlaw community,1
opt choice,1
datum from connected productivity tool,1
length of visit to page,1
browsing action,1
bookwhen ltd,1
aggregate site information,1
academic information,1
click activity,1
Momentum,1
company under common control,1
content you send to we,1
identify information about device connect to service,1
information you submit to we,1
joint venture,1
number assign to computer,1
email information you grant access to in specific relay.app workflow,1
information transmit from compute device for purpose of,1
title time stamp,1
datum assist in,1
local share object,1
message send,1
not track signal,1
personal data provide,1
physical premise,1
report base on use of technology by company on individual basis,1
voice communication send,1
web beacons,1
search result,1
personal information we process on behalf of client,1
page view information,1
information we source from third party partner,1
information in email,1
sister company,1
aggregated statistic,1
hosting service,1
prospect datum,1
table of content,1
call information,1
detail concern safeguard employ,1
information about meeting document in calendar,1
personal datum concern employee who engage with service,1
position with customer,1
support provider,1
customer relation management system,1
winn . ai ltd.,1
rubric,1
california customer record,1
call videoconference,1
category of personal datum,1
government record,1
specific personal datum we collect,1
share,1
segmentl,1
salesforce,1
mixpane,1
mailchimp,1
hubspot,1
clearbit,1
cello,1
business card,1
Persistent Systems,1
Algolia,1
personal information about end user we process on behalf of customer,1
investigation service,1
host service,1
fraud detection,1
data service,1
information in customer list,1
email client type,1
profession,1
facial feature information,1
mobile phone distance sensor,1
mobile acceleration sensor,1
log record,1
information relate to permission,1
facial photo,1
facial information,1
enterprise organization name,1
acceleration sensor,1
distance sensor,1
corresponding recording file,1
communication call record with we,1
bluetooth information,1
attachment of email,1
application,1
mobile phone model,1
necessary information of service,1
necessary information use,1
necessary personal information,1
not software installation list information,1
operating system version number,1
order information for,1
relevant device information,1
relevant information necessary,1
relevant information of event involve,1
relevant system permission authorize,1
router ssid,1
search keyword information,1
service log,1
staff size,1
text in picture,1
time zone information of device,1
app installation status,1
regular payment,1
content delivery service,1
article,1
headquarters in united states,1
personal information about california consumer subject,1
professional biography,1
record of offering purchase,1
related company,1
transactional datum,1
data from website visitor request for information,1
privacy officer,1
device information we collect in online advertising,1
occupation detail,1
package dump,1
regular malware scanning,1
required information mandate,1
action you take within application,1
financial subscription information,1
feedback datum,1
feedback about experience,1
datum about type of payment use,1
complete name,1
category of personal information describe,1
audio datum,1
automate decision making,1
available information as,1
for information technology contractor,1
health information,1
information allow,1
information require under article,1
meaningful information as,1
medicare detail,1
medication use,1
personal information collect as part of business operation,1
identifier we match against information we collect from you,1
information you submit in public forum,1
personal datum base legitimate interests in,1
personal datum about people,1
mac,1
medical condition,1
open position,1
messaging datum,1
organization you represent,1
personal data you volunteer be,1
personal datum volunteer,1
heliom,1
personal information you make,1
record of visitor,1
relevant personal datum,1
seminar,1
sensitive information about you,1
message send to external channel,1
information you volunteer,1
information relate to criminal conviction,1
information about this,1
information about food preference,1
health record,1
feedback response,1
detail of services purchase from we,1
detail of marketing preference you communicate to we,1
detail about product you view through site,1
datum from application,1
datum collect through interaction with third party website,1
screen dimension,1
capital stock,1
base chat interface,1
banking detail,1
account number,1
third party login token,1
social networking profile,1
datum collect from user of missive application,1
personal datum for target advertising purpose,1
information about security vulnerability exploit through penetration testing,1
information on use of technology for advertising,1
many choice regard use of personal information for advertising purpose,1
billing metadata about company,1
company information,1
datum about feature you use,1
encrypted backup of datum,1
use datum,1
unique number assign to device,1
access to website,1
company industry,1
personal datum necessary,1
file from third party share service,1
for account preference,1
option unsubscribe,1
special category of personal datum,1
trade union membership,1
time date of access,1
search word,1
related activity information,1
file read,1
versioning,1
statistical information,1
site health information,1
information we collect in month,1
address book contact,1
demographic information about you,1
calendar event,1
copy of specific personal information we collect,1
configuration setting,1
chat comment,1
add on,1
upload file,1
progress through professional development,1
potential job applicant information,1
id number,1
total number of user,1
base tool,1
company,1
datum you submit to service,1
eu personal datum,1
hipaa protect health information,1
information it contain,1
personal information of european union resident,1
total number of file,1
internet protocol,1
total amount of datum store,1
regulate data,1
regulatory compliance material,1
skedulo event,1
union membership,1
type of datum describe in section,1
state province country,1
state province,1
social networking activity,1
record customer service interaction,1
payment account,1
notification setting,1
information you submit through feature,1
information you fill in webform,1
usage statistical information,1
information consider,1
current company information,1
authentication credential for account,1
training certification,1
social medium account you connect to service,1
security data,1
skedulo product,1
source code,1
system health,1
usage,1
personal information necessary,1
nimble software systems,1
estimate of cost associate with,1
datum from online source,1
appropriate opt choice,1
Apple,1
statistic about usage of website,1
annual revenue,1
local performance number,1
latency to remote vm,1
integration use,1
information discuss,1
information about nature of breach,1
Dropbox,1
trend,1
account information for services,1
transaction information you provide,1
average number of file change per time period,1
manage website,1
cpu utilization over time,1
database hosting,1
information on prior activity,1
department name,1
information disclose to,1
device datum collect,1
demographic information about user base,1
information disclose to it,1
student datum,1
clickstream,1
aggregate report,1
customer information relate to transaction with affiliated business,1
customer personal information,1
facsimile number,1
personal datum associate with workramp account control,1
content of website chat,1
data enrichment service,1
distributor,1
infer datum generate from use of portal,1
verification result,1
marketing tool,1
personal datum we process on behalf as data processor,1
item in shopping cart,1
personal datum we process on behalf of customer submit to service,1
relevant content,1
sale partner,1
website chat,1
website hosting service,1
workplace,1
call conference provider,1
aggregated extract of information,1
parent name,1
online identifier collect on service,1
information from phone book,1
gender identity,1
gender expression,1
specialty,1
secure socket layer,1
qualification,1
portfolio work,1
information share with we through third party integration,1
information provide we with good faith belief be,1
firewall,1
delivery service expert provide through white glove delivery provider,1
content of,1
consultant,1
Intercom,1
address change information,1
widget as share button,1
information we collect from source,1
face camera,1
fitness datum from google fit,1
network firewall,1
select datum type,1
click stream activity on service,1
datum about individual across world,1
information you include in communication with we,1
file on google drive,1
non - identifying personal information,1
personal information pertain to visitor of website,1
personal information regard user of user,1
record keeping information,1
session heatmap,1
user of user personal information,1
address state province,1
version information,1
settlement amount,1
relevant document information,1
places api,1
monetary amount settle dispute,1
hardware model internet service provider,1
direction,1
unique device identification number,1
report base on use of technology by service provider on individual basis,1
multiple personal datum point,1
data tool,1
ad delivery,1
tax resolution information,1
tax id number,1
shared objects,1
information provide to we in accordance with irs regulation,1
biographical information,1
unique device identify number,1
http protocol element,1
possible re,1
information request through online application question,1
internet electronic activity information,1
job level,1
online product,1
personal information we disclose,1
personalization,1
reasonable information verify identity,1
personal datum regard usage behavior in relation to saas application user use,1
relationship with you,1
sensory information,1
transactional communication,1
ui element,1
analytic information about use of website,1
information associate with use of service,1
identity verification,1
employment,1
document you create,1
course completion datum,1
content of message,1
cache copy of information,1
attachment you send to we,1
analytic datum about service,1
aggregation,1
action take through services,1
subscription plan,1
personal datum inputte in service,1
identification datum,1
datum you submit to site,1
billing datum,1
source from we collect it,1
performance information,1
information relate to engagement between we,1
risk assessment information,1
data identify,1
mobile,1
basic user information about team member,1
ai sale agent,1
automation,1
browsing datum,1
deal room,1
employer information,1
pipeline management,1
risk assessment information associate with account,1
site usage,1
visit survey,1
educational record govern,1
information concern particular service upon,1
only as much information,1
student data,1
chat information send to it via direct message,1
datum about error,1
navigation action,1
omni owl gmbh,1
personal information be,1
pylon tigris data,1
target group targeting,1
user pattern on website,1
app use information,1
information about you collect via customer support channel,1
information collect through survey question,1
information you generate,1
interaction with team,1
personal information in performance of business,1
transaction record,1
website analytic information,1
sender information,1
visitor browsing,1
wix apps,1
engineerica,1
general statistic,1
datum you provide to we through website,1
detail on device you use,1
email opening rate,1
expert,1
feedback you provide to we,1
full control over it,1
minimum amount require,1
log data contain on device,1
history of request make on app,1
incremental auth,1
information about relevant legislation,1
information about setting,1
information concern person,1
information you provide in form,1
datum process through feature,1
datum of child under age of 16,1
datum about on market purchase,1
date of installation,1
database,1
data sharing with third party,1
corresponding datum mention,1
connection,1
braze id,1
base technology company maintain,1
backend datum,1
audio stream,1
associate datum,1
aspect of personal datum,1
app version,1
app token we assign to you,1
apns device token,1
interaction data,1
logically separate database,1
demographic information about visitor as whole,1
writing style description,1
team identity,1
technical datum about ios system,1
technical datum you provide to we,1
telemetry,1
textual context of email,1
whitelist,1
Everlaw,1
mail server credential,1
account preference,1
activity in service,1
address of web page visit before,1
data setting,1
diagnostic information,1
elect privacy setting,1
sufficient information verify you as person we collect personal datum,1
specialist,1
spark mail limited,1
spark id,1
source of collection,1
software engineer,1
snapshot of email draft,1
share inboxe,1
several type,1
send email,1
select sample,1
sample,1
payment status,1
payment processor id,1
payment history,1
oauth login credential,1
metric on marketing campaign,1
analytic on feedback,1
access email message,1
activity on service site,1
unique id allow,1
item click,1
kommo,1
linkedin conversion tag,1
product of qsoft llc,1
quora conversion tag,1
twitter conversion tag,1
universal analytics,1
zoom account datum,1
web browser,1
web site at https://www.kommo.com/,1
yandex metrika,1
above category of personal datum,1
communication with individual from written mean as email,1
relevant information,1
information post on service,1
information about way you use service for,1
google tag manager,1
facebook conversion tag,1
email synchronization,1
datum about use of site,1
crozdesk conversion tag,1
client data contain personal datum store in connection with services,1
capterra conversion tag,1
adwords conversion tag,1
access to contact,1
accucampus,1
accuclass,1
accuclub,1
accudemia,1
accutraining,1
conference lead,1
information constitute personal data,1
interaction with we,1
navigation information,1
number of subscription user,1
powerfront inc,1
nickname,1
information about your,1
business email,1
skill,1
service version number,1
service use,1
screen resolution size,1
BBC,1
php version utilize on company server,1
personal interest,1
personal data sugarcrm hold about you,1
percentage of new session,1
number of user,1
number of session,1
tablet application,1
number of record access,1
number of page view per session,1
name of sugarcrm customer who submit datum into services,1
mobile device brand,1
language of user,1
information about product use,1
bounce rate,1
basic participant information,1
basic information about employer,1
basic information about company,1
average session duration,1
x,1
web site at https://www.pipedrive.com,1
unrestricted information,1
mobile carrier,1
information you provide on,1
information enable we,1
hardware version of device,1
essential data,1
eye tracking,1
fit adjustment,1
fitness information,1
follower,1
hand tracking,1
headset adjustment tip,1
information help,1
information about connection to user as,1
information about gameplay activity as,1
information about physical environment,1
information about smart glasses purchase through own channel,1
information about store voice conversation,1
information about voice interaction,1
environmental information,1
dimension,1
device performance information,1
device performance datum,1
destination,1
datum relate to voice interaction,1
datum about interaction with natural facial expressions,1
datum about interaction with fit adjustment,1
crash log information,1
choose language,1
block user,1
avatar in app profile information,1
authorization token,1
app invite,1
amount of time it take,1
additional data,1
achievement,1
information from meta vr products,1
end user personal information,1
information relate to education,1
third party service usage,1
raw image of surrounding,1
record audio,1
smart glasses sensor relate to content,1
subscription,1
write reason for refusal,1
technical system information about device you use,1
tracking quality,1
information relate to profile,1
transcript of voice interaction,1
voice storage,1
burdock,1
human,1
image with you,1
information about partner,1
prompt you use,1
profile name profile picture,1
profile name,1
picture you post,1
photo you take,1
performance attribute,1
object you build,1
number of gesture you make,1
number of calorie you burn be,1
natural facial expressions,1
movement,1
mobile device setting,1
meta horizon profile information,1
meta horizon profile datum,1
medium,1
list of follower,1
datum about use of services,1
abstracted gaze datum,1
abstract hand datum,1
abstract gaze datum,1
eu personal information,1
amazon web services,1
audio recordings,1
automatic otterpilot tm screenshot,1
carrier type,1
dedicated otter.ai website,1
designate information,1
information about query,1
abstract fit adjustment datum,1
otter meeting assistant app,1
personal information we receive,1
platform information,1
consent information,1
information about use of on service,1
information you give we on service,1
AppsFlyer,1
Amplitude,1
service delivery,1
personal information you choose,1
personal information about job applicant we process on behalf of customer,1
personal information about employee of customer who participate in interview for role at customer,1
date time of visit,1
browser id,1
account credential,1
web site access log,1
user analysis,1
track number of visitor,1
statistic garner,1
personal information regard customer,1
personal identifiable information,1
method of payment,1
information enter on barraiser website,1
communication content,1
correspondence data,1
datum about use of website,1
client information,1
abstract facial expression datum,1
information about visit to appspace sites,1
customer personal data,1
content of email correspondence with you,1
transaction,1
product selection,1
personal preference,1
personal information obtain from current activity on site,1
general business operations,1
instant messenger nickname,1
information we collect from you as part of normal operation of site,1
information target to account,1
information about internet address,1
datum we hold on they,1
blog url,1
information about website use,1
website navigation path,1
transaction detail,1
publication data,1
profile data,1
professional bio,1
personal information in connection with transfer to acquirer upon,1
notification data,1
service providers,1
interaction with ad,1
inquiry data,1
information relate to transaction include purchase of good you enter into with we,1
information include in personal profile,1
information contain in inquiry you submit to we regard good,1
information contain in,1
information about success,1
information relate to position in educational institution,1
device information include,1
connection make,1
information of user,1
activity we display,1
aggregate statistical information,1
buzz,1
card,1
company event,1
desktop app link to privacy notice,1
identifiable information about individual,1
domo dojo,1
domo username,1
duration of session,1
feedback about service,1
forum,1
information about use of feature,1
information about communication,1
information about content you view on service,1
information relate to business,1
phonism,1
permission,1
program run on website,1
piece of information store on computer,1
job applicant datum,1
information about experience with enhance website,1
end user information,1
datum relate to visit,1
biographical datum,1
xyte technologies ltd.,1
payment you make,1
minimum amount of personal data require for compliance with legal requirement,1
item purchase,1
information relate to activity in services,1
information regard status of referral to individual who refer you,1
marketing communication,1
information relate to teaching,1
inference draw from foregoing,1
access to personal information,1
tax id employer identification number,1
ram cpu usage,1
personal address,1
metadata assign to contact,1
information in communication,1
inbox,1
newsletter,1
ein,1
derivation,1
datum describe in automatic data collection section,1
amount of time you spend on page,1
crash log,1
datum we collect through interaction with you,1
aggregate knowledge,1
analytic datum supply,1
business name,1
information particular,1
information on upgrade available,1
credit card payment for service,1
aggregate statistic about sale,1
version status,1
user type,1
student id,1
relevant personal information,1
public information about you,1
proof of enrollment,1
personal information upload into subscription services,1
personal information provide to domo,1
permanent record of request not send direct marketing,1
page on many social networking site,1
website visitor,1
system information,1
response,1
smokeball service,1
information about you you provide,1
information we collect about use of service,1
login attempt,1
personal datum about,1
sensitive datum,1
service setting,1
software solution,1
personal unsolicited information,1
time of access,1
transaction history datum,1
usage habit,1
write reason for decision,1
affiliate list in affiliated party section,1
affiliates,1
high level statistical datum about,1
detail of concern,1
communications data,1
client data customer choose,1
personal information provide in verification process,1
personal information we consider,1
behavior on website,1
personal information we use for own business purpose,1
record of personal information,1
serial number,1
tax id,1
third party code,1
personal information you download,1
personal information subject,1
personal datum receive with consent,1
patronymic,1
limited liability company,1
copy of datum in structured format,1
date of employment,1
datum you submit to we,1
login name,1
list,1
jotform pty ltd,1
jotform ltd,1
jotform canada inc.,1
insurance information,1
information gather from,1
information from page tag,1
license number,1
form response,1
form responder,1
form metadata,1
form datum,1
customer,1
australian resident personal information,1
tax information,1
personal information fall within scope of privacy policy,1
selection of language,1
purchase information,1
program of interest,1
product preference,1
previous work experience,1
prefer starting date,1
nationality,1
language skill,1
language of interest,1
information you provide we through use of website,1
income,1
human resources datum,1
human resources data,1
main type,1
personal information relate to employee within services,1
