data_type,count
datum broker,2
doubleclick campaign manager integration,2
information about equipment,2
operate system type,2
system configuration,2
merchant name,2
legal business name,2
last digit,2
information you provide in connection with application,2
statistic on user who attend event,2
identification,2
site account information,2
email body,2
google account,2
record of contact you have with ispring,2
prior version of policy,2
information be,2
transactional assistance,2
right request,2
profile photograph,2
personal information we obtain from third party,2
personal information under dpf principles,2
lso,2
information list in,2
general information,2
currency,2
datum use,2
datum on use of website,2
template,2
transaction id,2
personal information provide from time on site,2
website at obsidiansecurity.com,2
department,2
prospect data,2
personal data provide in verifiable consumer request,2
corporate website,2
manage service,2
registration datum,2
professional service,2
staff,2
subscription service,2
support service,2
marketing email,2
attribute,2
website we operate,2
software development kit,2
pin code,2
medium channel,2
sdk,2
mobile application related,2
mobile website,2
personal information of end user,2
personal datum from visitor to face website,2
obsidian technologies inc.,2
zoom event id,2
email correspondence,2
zoom access key,2
video footage of you,2
marketing activity,2
local browser storage technology,2
component,2
datum log,2
specific piece of personal information,2
powerpoint version you use,2
tax identification number,2
base saas cybersecurity platform,2
status,2
inference draw from personal information,2
conversion information,2
navigational information,2
length,2
non - public education information,2
activity describe in policy,2
pixel tracking,2
referrer url,2
profile datum,2
log data,2
imei,2
technical data about you,2
crash datum,2
question,2
browser language,2
type of content,2
amount of free space on device,2
page tag,2
operate system version,2
information available,2
social network handle,2
general behavior,2
local storage objects,2
datum about device,2
characteristic,2
type of online analytic include google analytics,2
datum not list,2
error report,2
report base on use of technology by third party service provider on individual basis,2
information you decide,2
letter,2
ispring services you order,2
information relate to site account,2
information provide to ispring,2
event attendance statistic,2
evaluation information,2
domain name registration information,2
datum traffic,2
region,2
contract datum,2
identification number associate with device,2
network information,2
content enrichment provider,2
information regard interaction with website,2
factor authentication,2
information relate to,2
chat service,2
copy,2
business private address,2
live event,2
date time stamp associate with usage,2
Stripe,2
backup,2
personal information we store,2
company size,2
information you provide on third party site,2
information regard interaction with email message as,2
information collect through google analytics,2
event datum,2
locale,2
information about individual who register for zoominfo event with third party speaker,2
information about account with we,2
rating,2
business information from crm,2
business information from zoominfo,2
calendar meeting,2
time spend on page,2
data for professional profiles,2
date of last use,2
clickstream datum about,2
datum about people,2
device,2
email header information,2
email subject,2
information about end user,2
business detail,2
mouse over,2
information submit,2
information upload,2
list of specific use,2
prior version of privacy policy,2
meeting description,2
necessary username information,2
office address,2
past name,2
personal information we have,2
platform use,2
result of services,2
device time zone,2
content interest detail,2
software host,2
netskope inc.,2
payment card type,2
inference draw from personal datum,2
clickstream data,2
enterprise customer administrator,2
account login information,2
number of employee at company,2
small data file,2
secure high performance access to remote user,2
preference set,2
screen name,2
organization name,2
widget,2
banking information,2
action take,2
link you click,2
page you view,2
bank detail,2
insurance provider,2
personal information obtain from user,2
specification,2
instruction for,2
information for purpose of security,2
financial service provider,2
information relate to use of website,2
information use,2
content interest information,2
scoring model,2
uploaded information,2
internet network information,2
cloudeagle,2
social medium account,2
domain,2
google api user data,2
payment make via service,2
advanced generative pre - train transformer language model,2
candidate personal information,2
communication with we,2
information about use of service on goodtime website,2
personal data collect from natural person,2
information collect from service,2
information collect through use of google analytics,2
pattern of usage,2
browser configuration,2
transcript,2
personal employee data,2
information we obtain,2
presence,2
personal information regard employee,2
information we store associate with you,2
job role,2
alarm system,2
documentation,2
different category,2
attorney,2
language models,2
brand,2
corporate vpn,2
interactive mini,2
variety of measure,2
security information use for authentication,2
web browser extension,2
password hint,2
information about individual web page you view,2
personal information collect via site,2
web request,2
business datum collect from website for own internal marketing purpose,2
datum you provide to we,2
recording,2
billing,2
user input,2
text you input,2
security datum,2
address of website from you arrive at website,2
subcontractor,2
timing,2
referral source,2
method use,2
page interaction information,2
pattern,2
choice,2
information we request,2
communication information,2
auth provider,2
information make,2
application data,2
date time stamp for visit,2
related web site,2
whitepaper,2
industry type,2
session length,2
event information,2
financial institution,2
customer relationship management vendor,2
company annual revenue,2
communications,2
basic type,2
everyaction,2
base solution provider,2
personal information need,2
computer type,2
bank account detail,2
web analytics datum,2
account log in,2
order information,2
company interest social medium profile,2
text of feedback,2
survey information,2
transaction data,2
tracking information about use of site,2
tracking information,2
tracking datum,2
referral datum,2
professional history,2
hint,2
industry sector,2
engagement history,2
playback detail,2
api key,2
call,2
information about account,2
personal datum collect,2
internet browser type,2
inference draw from above information,2
personal datum we process on behalf of client,2
security company,2
demographic datum,2
mobile apps,2
technology provider,2
information about engagement with ourservices,2
www.clari.com website,2
idea,2
cybergrants,2
information about device you use,2
device address,2
detail about engagement with communication,2
web application,2
donation,2
information list in type of information we collect section,2
information anonymize,2
track user clicking behavior,2
information about customer end user we collect not list,2
content of communication with we,2
personal data collect from you,2
registration information for mobile phone,2
provision of customer support,2
internet address assign to computer,2
ingredient,2
result information from credit reference agency,2
information you enter on service,2
information it collect from you,2
information from public profile,2
information we process in connection with use of services,2
applicable processing activity,2
applet trigger field,2
aggregate usage information,2
aggregate customer data,2
administrative password,2
action field,2
identifying information,2
answer,2
history of access,2
information we share,2
employer name,2
embed script,2
date time of access,2
personal information collect,2
customer id,2
course history,2
content for user in connection with service as article,2
cloud service provider,2
information third party site share with we,2
browser use,2
information relate to account with third party service,2
downloadable software,2
school name,2
personal datum tie to course,2
name of entity they represent,2
research firm,2
current employer,2
learner program course information history,2
information about processing of personal datum,2
information about use of service on website,2
information contain personal information,2
information you share with we in connection with survey,1
information regard status of direct marketing email,1
datum concern use of website,1
webpage,1
secure backup of personal datum,1
ongoing training,1
datum receive from customer,1
prefer method of contact,1
event name,1
enhance personalized feature,1
generate content,1
necessary information in concise format,1
information apply to software,1
fellow for ms teams,1
personal information identify in policy,1
minimal business information,1
